"H1"||"H"||1||0|||13|||||0|1|1|5|10|20|90|95|100|85|90|95|70|82.5|95|50|70|90|25|26.5|50||2.1|||3|||4.3|||8.3|||8.8||30|53.5|65|||||||10|20|30||||2|4|6||||1.3|1.4|1.5||||1.37|1.47|1.54||4.2333|9.1722|14.1111|0.17|0.19|0.21||||12.4|27.1|33.3|6.6|14.5|22.9|31|37|43|0|1.5|2.9|20|30|40|0|9|18|0|4|17|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5.5|11|16.4|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"27658502"|"82717876"
"H2"||"H"||2||13|||46|||||0|3|5|15|33|50|40|62.5|85|35|57.5|80|30|55|80|20|47.5|75|0|26.5|50||2.1|||3|||4.3|||8.3|||8.8||30|53.5|65|||||||10|20|30||||0.5|1.25|2||||1.4|1.55|1.7||||1.54|1.69|1.84||4.2333|9.1722|14.1111|0.06|0.11|0.16||||3.5|14.5|26.4|1.7|7.1|16.7||19|34|0|1.5|2.9|20|30|40|0|9|18|0|1|12|".15"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|5.4|10.8|16.2|||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"27658502"|"82717877"
"H1"||"H"||1||0|||23|||||0|0|0|0|0|0|80|90|100|75|87.5|100|50|72.5|95|50|70|90|20|22.4|70||1.9|||2.5|||2.3|||6.8|||8.9||10|55.1|65|||||||15|22.5|30||||5|12.5|20||||1.1|1.25|1.4||||1.16|1.31|1.46||1.4111|7.7611|14.1111|0.15|0.19|0.23||||16.3|33.6|40.9|11.6|23.9|37|32|40|49|0|1.5|2.9|35|40|45|5|10|15|0|7|16|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|8.3|12.5|16.7|||||||5.6|6.5|7.3|||||||||||||||||||||||||||||||||"27658503"|"82717879"
"H2"||"H"||2||23|||91|||||0|0|0|0|3|5|60|90|95|55|80|90|45|65|85|25|52.5|80|20|38.5|70||3.4|||4.9|||6.7|||12.1|||11.4||10|36.5|65|||||||18|25|32||||1|3|5||||1.2|1.35|1.5||||1.27|1.42|1.57||1.4111|7.7611|14.1111|0.08|0.13|0.18||||13.6|27.2|32.8|7.5|14.9|21.9|27|39|48|0|1.5|2.9|20|27.5|35|5|10|15|0|2|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|9.7|13.6|17.5|||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"27658503"|"82717880"
"H3"||"H"||3||91|||152|||||0|0|0|5|5|10|35|90|95|30|85|90|25|55|85|15|47.5|80|20|66.9|70||0|||2.4|||14.4|||33.5|||16.6||10|14.1|65|||||||18|19|32||||0|0.5|1||||1.7|1.78|1.95||||1.79|1.87|1.97||0|0.7056|1.4111|0.06|0.11|0.15||||7.8|20.9|27.7|5.1|13.8|24.4||27|30|0|1.5|2.9|20|27.5|35|5|10|15|0|1|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|9.1|10.1|17.1|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"27658503"|"82717881"
"H1"||"H"||1||0|||20|||||0|0|1|0|3|5|80|90|100|75|85|95|60|77.5|95|35|60|85|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||2|4|6||||1.1|1.25|1.4||||1.16|1.31|1.46||4.2333|9.1722|14.1111|0.13|0.17|0.2||||10.3|23.9|29.7|4.1|9.6|15.6|35|43|52|0|1.5|2.9|0|15|30|0|5|10|0|0|7|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|2.8|6.3|9.9|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"27658504"|"82717882"
"H2"||"H"||2||20|||71|||||0|1|1|0|3|5|55|90|95|50|85|90|40|62.5|85|25|52.5|70|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||0.5|1.25|2||||1.3|1.45|1.6||||1.37|1.52|1.67||4.2333|9.1722|14.1111|0.08|0.14|0.19||||6.4|21.6|26.8|2.2|7.5|12.4|23|38|45|0|1.5|2.9|0|15|30|0|5|10|0|0|5|".49"|".49"|0|4|10|0|0|0|0|0|0|0|0|0|2.7|6.2|9.8|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"27658504"|"82717883"
"H3"||"H"||3||71|||152|||||0|1|1|0|8|15|55|80|80|50|75|75|40|65|65|25|50|50|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||0|0.25|0.5||||1.7|1.78|1.95||||1.81|1.89|1.99||0.4233|0.9172|1.4111|0.08|0.1|0.12||||5.2|18.6|23.5|1.8|6.6|11.1|13|24|28|0|1.5|2.9|0|15|30|0|5|10|0|0|2|".64"|".64"|5|15|25|0|0|0|0|0|0|0|0|0|2.6|6.1|9.6|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"27658504"|"82717884"
"H1"||"H"||1||0|||20|||||0|0|0|0|3|5|80|87.5|95|75|82.5|90|50|67.5|85|40|60|80|25|27.1|70||2.2|||3.1|||4.4|||8.5|||8.9||15|54.4|65|||||||10|18.5|27||||3|6.5|10||||1.1|1.25|1.4||||1.16|1.31|1.46||4.2333|9.1722|14.1111|0.12|0.16|0.19||||13.3|27.7|33.7|7.2|15|23.4|34|42|50|0|1.5|2.9|30|35|40|5|10|15|0|4|12|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5.5|10.2|14.9|||||||5.6|6.5|7.3|||||||||||||||||||||||||||||||||"27658505"|"82717885"
"H2"||"H"||2||20|||61|||||0|0|0|0|3|5|60|85|95|55|80|90|40|62.5|85|25|52.5|80|25|39.8|70||3.6|||5|||6.9|||12.5|||11.8||15|37.7|65|||||||18|22.5|27||||0.5|1.25|2||||1.2|1.35|1.5||||1.27|1.42|1.57||4.2333|9.1722|14.1111|0.09|0.14|0.18||||14.9|25.1|29.4|7.1|11.9|16.1|28|40|49|0|1.5|2.9|20|25|30|5|10|15|0|2|10|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|9.6|12.1|14.6|||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"27658505"|"82717886"
"H3"||"H"||3||61|||152|||||0|0|0|5|8|10|40|75|75|35|65|70|25|45|65|15|37.5|60|25|39.8|70||3.6|||5|||6.9|||12.5|||11.8||15|37.7|65|||||||18|22.5|27||||0|0.25|0.5||||1.7|1.78|1.95||||1.82|1.9|2.01||0.4233|0.9172|1.4111|0.05|0.1|0.14||||9.8|19|22.8|5.2|11.3|15|10|21|25|0|1.5|2.9|20|25|30|5|10|15|0|0|6|".24"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|9.1|11.8|14.3|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"27658505"|"82717887"
"H1"||"H"||1||0|||18|||||0|1|1|0|3|5|80|90|100|75|85|95|50|72.5|95|35|60|85|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||2|4|6||||1.3|1.45|1.6||||1.37|1.52|1.67||4.2333|9.1722|14.1111|0.13|0.17|0.2||||10.6|24.6|31.1|4.7|10.9|18|28|36|45|0|1.5|2.9|30|32.5|35|1|3|5|0|0|5|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|4.9|10.6|16.2|||||||5.6|6.5|7.3|||||||||||||||||||||||||||||||||"27658506"|"82717888"
"H2"||"H"||2||18|||58|||||0|1|1|0|3|5|55|90|95|50|85|90|35|62.5|90|20|50|80|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||0|0.5|1||||1.4|1.55|1.7||||1.48|1.63|1.71||4.2333|9.1722|14.1111|0.08|0.14|0.19||||5.6|20.9|26.3|1.9|7|11.8|20|35|42|0|1.5|2.9|20|22.5|25|1|3|5|0|0|2|".55"|".55"|0|0|0|0|0|0|0|0|0|0|0|0|4.1|9.8|15.1|||||||5.6|6.5|7.3|||||||||||||||||||||||||||||||||"27658506"|"82717889"
"H3"||"H"||3||58|||183|||||0|1|1|0|3|5|40|90|95|35|85|90|20|52.5|85|10|40|70|30|32.7|75||3|||4.1|||5.5|||10.1|||10||15|56.8|65|||||||3|10.5|18||||0|0.5|1||||1.7|1.78|1.85||||1.79|1.87|1.96||1.4111|7.7611|14.1111|0.07|0.13|0.19||||2.6|21|27.3|0.9|7.2|13.5|12|27|31|0|1.5|2.9|0|12.5|25|0|2.5|5|0|0|1|".55"|".55"|10|15|25|0|0|0|0|0|0|0|0|0|2.6|9|15.1|||||||6.6|7.5|8.4|||||||||||||||||||||||||||||||||"27658506"|"82717890"
"R"||"R"||||46|||71||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.4233|2.3283|4.2333|||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"27658507"|"82717893"
"H1"||"H"||1||0|||13|||||0|1|1|5|10|20|90|95|100|85|90|95|70|82.5|95|50|70|90|25|26.5|50||2.1|||3|||4.3|||8.3|||8.8||30|53.5|65|||||||10|20|30||||2|4|6||||1.3|1.4|1.5||||1.37|1.47|1.54||4.2333|9.1722|14.1111|0.17|0.19|0.21||||12.4|27.1|33.3|6.6|14.5|22.9|31|37|43|0|1.5|2.9|20|30|40|0|9|18|0|4|17|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5.5|11|16.4|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"27658507"|"82717891"
"H2"||"H"||2||13|||46|||||0|3|5|15|33|50|40|62.5|85|35|57.5|80|30|55|80|20|47.5|75|0|26.5|50||2.1|||3|||4.3|||8.3|||8.8||30|53.5|65|||||||10|20|30||||0.5|1.25|2||||1.4|1.55|1.7||||1.54|1.69|1.84||4.2333|9.1722|14.1111|0.06|0.11|0.16||||3.5|14.5|26.4|1.7|7.1|16.7||19|34|0|1.5|2.9|20|30|40|0|9|18|0|1|12|".15"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|5.4|10.8|16.2|||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"27658507"|"82717892"
"H1"||"H"||1||0|||23|||||0|0|0|0|0|0|80|90|100|75|87.5|100|50|72.5|95|50|70|90|20|22.4|70||1.9|||2.5|||2.3|||6.8|||8.9||10|55.1|65|||||||15|22.5|30||||5|12.5|20||||1.1|1.25|1.4||||1.16|1.31|1.46||1.4111|7.7611|14.1111|0.15|0.19|0.23||||16.3|33.6|40.9|11.6|23.9|37|32|40|49|0|1.5|2.9|35|40|45|5|10|15|0|7|16|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|8.3|12.5|16.7|||||||5.6|6.5|7.3|||||||||||||||||||||||||||||||||"27658508"|"82717894"
"H2"||"H"||2||23|||91|||||0|0|0|0|3|5|60|90|95|55|80|90|45|65|85|25|52.5|80|20|38.5|70||3.4|||4.9|||6.7|||12.1|||11.4||10|36.5|65|||||||18|25|32||||1|3|5||||1.2|1.35|1.5||||1.27|1.42|1.57||1.4111|7.7611|14.1111|0.08|0.13|0.18||||13.6|27.2|32.8|7.5|14.9|21.9|27|39|48|0|1.5|2.9|20|27.5|35|5|10|15|0|2|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|9.7|13.6|17.5|||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"27658508"|"82717895"
"H3"||"H"||3||91|||152|||||0|0|0|5|5|10|35|90|95|30|85|90|25|55|85|15|47.5|80|20|66.9|70||0|||2.4|||14.4|||33.5|||16.6||10|14.1|65|||||||18|19|32||||0|0.5|1||||1.7|1.78|1.95||||1.79|1.87|1.97||0|0.7056|1.4111|0.06|0.11|0.15||||7.8|20.9|27.7|5.1|13.8|24.4||27|30|0|1.5|2.9|20|27.5|35|5|10|15|0|1|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|9.1|10.1|17.1|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"27658508"|"82717896"
"H1"||"H"||1||0|||20|||||0|0|1|0|3|5|80|90|100|75|85|95|60|77.5|95|35|60|85|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||2|4|6||||1.1|1.25|1.4||||1.16|1.31|1.46||4.2333|9.1722|14.1111|0.13|0.17|0.2||||10.3|23.9|29.7|4.1|9.6|15.6|35|43|52|0|1.5|2.9|0|15|30|0|5|10|0|0|7|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|2.8|6.3|9.9|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"27658640"|"82718276"
"H2"||"H"||2||20|||71|||||0|1|1|0|3|5|55|90|95|50|85|90|40|62.5|85|25|52.5|70|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||0.5|1.25|2||||1.3|1.45|1.6||||1.37|1.52|1.67||4.2333|9.1722|14.1111|0.08|0.14|0.19||||6.4|21.6|26.8|2.2|7.5|12.4|23|38|45|0|1.5|2.9|0|15|30|0|5|10|0|0|5|".49"|".49"|0|4|10|0|0|0|0|0|0|0|0|0|2.7|6.2|9.8|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"27658640"|"82718277"
"H3"||"H"||3||71|||152|||||0|1|1|0|8|15|55|80|80|50|75|75|40|65|65|25|50|50|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||0|0.25|0.5||||1.7|1.78|1.95||||1.81|1.89|1.99||0.4233|0.9172|1.4111|0.08|0.1|0.12||||5.2|18.6|23.5|1.8|6.6|11.1|13|24|28|0|1.5|2.9|0|15|30|0|5|10|0|0|2|".64"|".64"|5|15|25|0|0|0|0|0|0|0|0|0|2.6|6.1|9.6|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"27658640"|"82718278"
"H1"||"H"||1||0|||20|||||0|0|0|0|3|5|80|87.5|95|75|82.5|90|50|67.5|85|40|60|80|25|27.1|70||2.2|||3.1|||4.4|||8.5|||8.9||15|54.4|65|||||||10|18.5|27||||3|6.5|10||||1.1|1.25|1.4||||1.16|1.31|1.46||4.2333|9.1722|14.1111|0.12|0.16|0.19||||13.3|27.7|33.7|7.2|15|23.4|34|42|50|0|1.5|2.9|30|35|40|5|10|15|0|4|12|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5.5|10.2|14.9|||||||5.6|6.5|7.3|||||||||||||||||||||||||||||||||"27658641"|"82718280"
"H2"||"H"||2||20|||61|||||0|0|0|0|3|5|60|85|95|55|80|90|40|62.5|85|25|52.5|80|25|39.8|70||3.6|||5|||6.9|||12.5|||11.8||15|37.7|65|||||||18|22.5|27||||0.5|1.25|2||||1.2|1.35|1.5||||1.27|1.42|1.57||4.2333|9.1722|14.1111|0.09|0.14|0.18||||14.9|25.1|29.4|7.1|11.9|16.1|28|40|49|0|1.5|2.9|20|25|30|5|10|15|0|2|10|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|9.6|12.1|14.6|||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"27658641"|"82718281"
"H3"||"H"||3||61|||152|||||0|0|0|5|8|10|40|75|75|35|65|70|25|45|65|15|37.5|60|25|39.8|70||3.6|||5|||6.9|||12.5|||11.8||15|37.7|65|||||||18|22.5|27||||0|0.25|0.5||||1.7|1.78|1.95||||1.82|1.9|2.01||0.4233|0.9172|1.4111|0.05|0.1|0.14||||9.8|19|22.8|5.2|11.3|15|10|21|25|0|1.5|2.9|20|25|30|5|10|15|0|0|6|".24"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|9.1|11.8|14.3|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"27658641"|"82718279"
"H1"||"H"||1||0|||18|||||0|1|1|0|3|5|80|90|100|75|85|95|50|72.5|95|35|60|85|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||2|4|6||||1.3|1.45|1.6||||1.37|1.52|1.67||4.2333|9.1722|14.1111|0.13|0.17|0.2||||10.6|24.6|31.1|4.7|10.9|18|28|36|45|0|1.5|2.9|30|32.5|35|1|3|5|0|0|5|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|4.9|10.6|16.2|||||||5.6|6.5|7.3|||||||||||||||||||||||||||||||||"27658642"|"82718282"
"H2"||"H"||2||18|||58|||||0|1|1|0|3|5|55|90|95|50|85|90|35|62.5|90|20|50|80|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||0|0.5|1||||1.4|1.55|1.7||||1.48|1.63|1.71||4.2333|9.1722|14.1111|0.08|0.14|0.19||||5.6|20.9|26.3|1.9|7|11.8|20|35|42|0|1.5|2.9|20|22.5|25|1|3|5|0|0|2|".55"|".55"|0|0|0|0|0|0|0|0|0|0|0|0|4.1|9.8|15.1|||||||5.6|6.5|7.3|||||||||||||||||||||||||||||||||"27658642"|"82718283"
"H3"||"H"||3||58|||183|||||0|1|1|0|3|5|40|90|95|35|85|90|20|52.5|85|10|40|70|30|32.7|75||3|||4.1|||5.5|||10.1|||10||15|56.8|65|||||||3|10.5|18||||0|0.5|1||||1.7|1.78|1.85||||1.79|1.87|1.96||1.4111|7.7611|14.1111|0.07|0.13|0.19||||2.6|21|27.3|0.9|7.2|13.5|12|27|31|0|1.5|2.9|0|12.5|25|0|2.5|5|0|0|1|".55"|".55"|10|15|25|0|0|0|0|0|0|0|0|0|2.6|9|15.1|||||||6.6|7.5|8.4|||||||||||||||||||||||||||||||||"27658642"|"82718284"
"R"||"R"||||46|||71||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.4233|2.3283|4.2333|||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"27658643"|"82718287"
"H1"||"H"||1||0|||13|||||0|1|1|5|10|20|90|95|100|85|90|95|70|82.5|95|50|70|90|25|26.5|50||2.1|||3|||4.3|||8.3|||8.8||30|53.5|65|||||||10|20|30||||2|4|6||||1.3|1.4|1.5||||1.37|1.47|1.54||4.2333|9.1722|14.1111|0.17|0.19|0.21||||12.4|27.1|33.3|6.6|14.5|22.9|31|37|43|0|1.5|2.9|20|30|40|0|9|18|0|4|17|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5.5|11|16.4|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"27658643"|"82718285"
"H2"||"H"||2||13|||46|||||0|3|5|15|33|50|40|62.5|85|35|57.5|80|30|55|80|20|47.5|75|0|26.5|50||2.1|||3|||4.3|||8.3|||8.8||30|53.5|65|||||||10|20|30||||0.5|1.25|2||||1.4|1.55|1.7||||1.54|1.69|1.84||4.2333|9.1722|14.1111|0.06|0.11|0.16||||3.5|14.5|26.4|1.7|7.1|16.7||19|34|0|1.5|2.9|20|30|40|0|9|18|0|1|12|".15"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|5.4|10.8|16.2|||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"27658643"|"82718286"
"H1"||"H"||1||0|||23|||||0|0|0|0|0|0|80|90|100|75|87.5|100|50|72.5|95|50|70|90|20|22.4|70||1.9|||2.5|||2.3|||6.8|||8.9||10|55.1|65|||||||15|22.5|30||||5|12.5|20||||1.1|1.25|1.4||||1.16|1.31|1.46||1.4111|7.7611|14.1111|0.15|0.19|0.23||||16.3|33.6|40.9|11.6|23.9|37|32|40|49|0|1.5|2.9|35|40|45|5|10|15|0|7|16|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|8.3|12.5|16.7|||||||5.6|6.5|7.3|||||||||||||||||||||||||||||||||"27658644"|"82718288"
"H2"||"H"||2||23|||91|||||0|0|0|0|3|5|60|90|95|55|80|90|45|65|85|25|52.5|80|20|38.5|70||3.4|||4.9|||6.7|||12.1|||11.4||10|36.5|65|||||||18|25|32||||1|3|5||||1.2|1.35|1.5||||1.27|1.42|1.57||1.4111|7.7611|14.1111|0.08|0.13|0.18||||13.6|27.2|32.8|7.5|14.9|21.9|27|39|48|0|1.5|2.9|20|27.5|35|5|10|15|0|2|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|9.7|13.6|17.5|||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"27658644"|"82718289"
"H3"||"H"||3||91|||152|||||0|0|0|5|5|10|35|90|95|30|85|90|25|55|85|15|47.5|80|20|66.9|70||0|||2.4|||14.4|||33.5|||16.6||10|14.1|65|||||||18|19|32||||0|0.5|1||||1.7|1.78|1.95||||1.79|1.87|1.97||0|0.7056|1.4111|0.06|0.11|0.15||||7.8|20.9|27.7|5.1|13.8|24.4||27|30|0|1.5|2.9|20|27.5|35|5|10|15|0|1|11|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|9.1|10.1|17.1|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"27658644"|"82718290"
"H1"||"H"||1||0|||20|||||1|1|5|5|5|10|80|90|100|75|85|95|60|77.5|95|35|60|85|30|32.3|75||2.9|||4|||5.5|||10|||9.9||15|56.2|65|||||||5|11.5|18||||2|4|6||||1.1|1.25|1.4||||1.16|1.31|1.46||4.2333|9.1722|14.1111|0.09|0.13|0.16||||9.7|23.5|28.8|3.9|9.4|15.1|33|43|51|0|1.5|2.9|0|15|30|0|5|10|0|0|7|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|2.8|6.3|9.9|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"27658645"|"82718291"
