SUM of impact coefficient,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
focal tree,alternate-leaf dogwood,american elm,ash spp,basswood,big tooth aspen,birch spp,bitternut hickory,black ash,black cherry,black walnut,box elder,buckthorn,butternut,cedar spp,elderberry,elm spp,green ash,hickory spp,honeysuckle,ironwood,lilac,malus,paper birch,pear spp,pin cherry,red cedar,red maple,serviceberry,shagbark hickory,slippery elm,sugar maple,white ash,white cedar,white oak,yellow birch,Grand Total,ignore,gps_n,gps_w,slope,aspect,height_ft,seedling_or_adult,dbh_cm,adult_crown_class,adult_dead_or_alive,dead_adult_base_epicormics,dead_adult_trunk_epicormics,dead_adult_canker_presence,dead_adult_canker_base,dead_adult_canker_1st9ft,dead_adult_canker_1stlivebranch,dead_adult_girdle,producing_seed,adult_percent_live_canopy,live_adult_base_epicormics,live_adult_trunk_epicormics,live_adult_canker_presence,live_adult_callus_presence,live_adult_canker_base,live_adult_canker_1st9ft,live_adult_canker_1stlivebranch,live_adult_girdle,live_adult_purdue_canker_rating,live_adult_purdue_canopy_ranking,densi_n,densi_e,densi_s,densi_w,basal_diameter_mm,seedling_damage,seedling_previous_stem_count,seedling_germ_yr,seedling_dead_or_alive,dead_seedling_canker_presence,seedling_percent_live_canopy,live_seedling_canker_presence,live_seedling_callus_presence,seedling_canker_base,seedling_canker_stem,seedling_girdle,seed_count,seed_bunch_size,terminal_bud,leaf_scar,lenticels,twig_hairs,riparian_or_upland,associate_trees,competition,other_competition,last_photo,notes,hybrid_visibility,Column 67,IGNORE-1,Ignore-2,ignore-3,ignore-4,ignore-5,ignore-6,ignore-7,ignore-8,Column 77,hickory,dogwood,black walnut,white pine,red cedar,white cedar,malus,buckthorn,ash,elm,mulberry,basswood,sumac,honeysuckle,elderberry,prunus,lilac,boxelder,maple,hackberry,butternut,oak,poplar,hazelnut,beech,gooseberry,spruce,birch
6,,2.19123506,6.26459144,,,1.736401674,,,,,,2.041480177,,,,,,,,,,,,,,92.81139719,,,,,,,10.65693699,,,115.7020425,,44.88442,-73.3271,0,,13,Adult,5.2,Suppressed,Alive,,,,,,,,No,65,Y,Y,Y,Yes,15,,10,40,2.5,3,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"butternut, red cedar, elm, ash, white cedar, dogwood, white pine",Vines on the tree,,3400,collected by Kylie ,Y,,butternut,red cedar,elm,ash,white cedar,dogwood,white pine,,,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,,,0.9090909091,0.777027027,,,,5.192244387,,,,,1.677489177,,,,,,,,,,,,,35.19348312,,,,,5.962392663,,,,,49.71172728,,44.88432,-73.3269,0,,41,Adult,39.9,Dominant,Alive,,,,,,,,Unknown (unable to see),95,N,N,Y,Yes,35,20,20,30,2,2,,,,,,,,,,,,,,,,,,,,,,,upland,"maple, red cedar, hickory, ash, basswood",None apparent,,3389,collected by Kylie ,N,,maple,red cedar,hickory,ash,basswood,,,,,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,,8.995489306,9.178456052,5.449237231,,,,,10.08284472,,,1.834002677,14.19598676,,,,,,,,,,,,,66.3255018,,0.9844559585,,,,,6.015565548,1.320293399,,124.3818335,,44.88445,-73.3262,1,E,43,Adult,42.3,Dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,10,5,2,5,1.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, butternut, basswood, bitternut hickory, ash, elm",None apparent,,3365,collected by Kylie ,N,,red cedar,butternut,basswood,hickory,ash,elm,,,,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,,,4.29317647,,,,,,,,,,,,,,,,,,,,,,,23.43562324,,,,,,,,,,27.72879971,,44.88592,-73.3268,0,,45,Adult,34.1,NA - no canopy,Alive,,,,,,,,Yes,70,Y,N,Y,Yes,10,10,7,8,3,2.5,,,,,,,,,,,,,,,,,<50,5 or fewer,,,,,upland,"boxelder, ash, red cedar, honeysuckle",None apparent,,1107,,N,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,0.8571428571,,,,,,,,,,,1.345238095,,,,,,,,,,,,,,97.42813777,,,,,,,,,,99.63051872,,44.88345,-73.3294,0,,38,Adult,30.7,Dominant,Alive,,,,,,,,No,2,N,N,Y,Yes,5,10,15,15,2,4.5,,,,,,,,,,,,,,,,,,,,,,,upland,"elderberry, red cedar, cherry, prunus sp, dogwood","Vines on the tree, Other",red cedar ,3608,collected by catherine,N,,elderberry,red cedar,prunus,prunus,dogwood,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
36,,,,,,,,,,,,,3.57,,,,,,,,,1.83908046,,,,34.58951978,,,,,,,,,,39.99860024,,44.8835,-73.3297,0,,46,Adult,45.2,Dominant,Alive,,,,,,,,Unknown (unable to see),60,N,Y,Y,Yes,10,15,17,30,2.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, butternut, ash",None apparent,,3619,collected by catherine,N,,red cedar,butternut,ash,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,,,,,,0.7384987893,,,,,,0.6618407446,,,,,,,,,,,,,,37.55234254,,,,,,,,,,38.95268208,,44.88303,-73.3298,0,,30,Adult,32,Dominant,Alive,,,,,,,,No,5,Y,N,Y,Yes,60,25,20,60,3,4.5,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"red cedar, honeysuckle, elderberry",None apparent,,2922,collected by Catherine,Y,,red cedar,honeysuckle,elderberry,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.710554951,3.239740821,,,,,6.910661055,6.279969543,,,,,,,,,0.6778149387,,,,,,,,,191.0483861,,,,,,,5.662650602,,,214.529778,,44.88273,-73.33,0,,32,Adult,29.9,Co-dominant,Alive,,,,,,,,Unknown (unable to see),80,N,N,Y,Yes,50,35,25,20,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"white cedar, elderberry, ash, elm, buckthorn",None apparent,,3694,collected by catherine,N,,white cedar,elderberry,ash,elm,buckthorn,,,,,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,,,,,,,,,,,,,14.70154896,,,,,,,,,,,,,13.23248575,,,,,,,18.62024914,,,46.55428384,,44.88296,-73.3308,0,,34,Adult,21,Intermediate,Alive,,,,,,,,No,0,Y,Y,Y,Yes,20,40,45,40,3.5,5,,,,,,,,,,,,,,,,,,,NA,0,0,1,upland,"white cedar, red cedar, butternut, gooseberry, elderberry ",None apparent,,3774,collected by catherine,Y,,white cedar,red cedar,butternut,gooseberry,elderberry,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
45,,,,,,,7.686283442,,,,,1.672394529,4.706703911,,,,,,0.8605341246,,,,,,,53.29124817,1.630434783,2.803738318,,,,,,,,72.65133727,,44.88276,-73.3295,0,,34,Adult,28.5,Intermediate,Alive,,,,,,,,Unknown (unable to see),80,N,N,Y,Yes,55,55,60,70,3.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, bitternut hickory, buckthorn","Vines on the tree, Other",red cedar,2942,collected by catherine,N,,red cedar,hickory,buckthorn,,,,,,,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
